	condition	experiment	colour
LC001-normal-RNA	normal	RNA	blue
LC001-tumor-RNA	tumor	RNA	red
LC033-normal-RNA	normal	RNA	blue
LC033-tumor-RNA	tumor	RNA	red
LC034-normal-RNA	normal	RNA	blue
LC034-tumor-RNA	tumor	RNA	red
LC501-normal-RNA	normal	RNA	blue
LC501-tumor-RNA	tumor	RNA	red
LC502-normal-RNA	normal	RNA	blue
LC502-tumor-RNA	tumor	RNA	red
LC505-normal-RNA	normal	RNA	blue
LC505-tumor-RNA	tumor	RNA	red
LC506-normal-RNA	normal	RNA	blue
LC506-tumor-RNA	tumor	RNA	red
LC507-normal-RNA	normal	RNA	blue
LC507-tumor-RNA	tumor	RNA	red
LC508-normal-RNA	normal	RNA	blue
LC508-tumor-RNA	tumor	RNA	red
LC509-normal-RNA	normal	RNA	blue
LC509-tumor-RNA	tumor	RNA	red
