"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000087237.10",234.706196141202,-3.66118292466962,0.327672469567595,-11.1733003675927,5.50949559467293e-29,7.59428872769717e-25
"ENSG00000138315.12",378.527098944804,-4.12396113927447,0.383183609135688,-10.7623631098849,5.18239111937073e-27,3.57170395947031e-23
"ENSG00000145850.8",115.82332452673,-4.4104364306139,0.42455696003129,-10.3883267637135,2.80225891221803e-25,1.28754456153378e-21
"ENSG00000152990.13",351.272069223724,-3.78914831943564,0.367562723883685,-10.3088481862342,6.42669154415157e-25,2.21463790611463e-21
"ENSG00000104938.16",60.0256481067589,-6.01898224521634,0.590442855380274,-10.1940131722651,2.10875183735477e-24,5.81340706521962e-21
"ENSG00000145708.10",407.105273421366,-4.46672278049639,0.440287357193034,-10.1450171292065,3.48717239510825e-24,8.01119738236202e-21
"ENSG00000017427.15",105.109420755752,-4.53544139855191,0.462918968764813,-9.7974844510123,1.15424320439956e-22,2.27286976134907e-19
"ENSG00000175336.9",2095.24859681509,-4.35819848650162,0.445710584181015,-9.77809062916855,1.39823338968836e-22,2.40915613043304e-19
"ENSG00000133800.8",237.675009475488,-3.36383431744676,0.346670343913174,-9.70326529658174,2.92000934903167e-22,4.47215654078361e-19
"ENSG00000116882.14",435.416010738939,-4.08350435485231,0.424967768044417,-9.60897428443446,7.32752685112834e-22,1.01002630115953e-18
"ENSG00000126759.12",87.6179008110033,-3.16098786451065,0.331476373873122,-9.53608797989495,1.48322051002059e-21,1.85861013728398e-18
"ENSG00000163687.13",596.741058431773,-3.30037502812681,0.346630178438669,-9.52131474239412,1.71001731587181e-21,1.8914436284613e-18
"ENSG00000150656.14",212.205123390949,-5.30888166644544,0.55783606273636,-9.51692086811978,1.78386296938457e-21,1.8914436284613e-18
"ENSG00000165682.14",58.3017890036767,-5.33671986946308,0.57941067898523,-9.21059977494671,3.24307699497256e-20,3.19304094990726e-17
"ENSG00000166148.3",160.305074660375,-4.73403939711035,0.521588516597578,-9.07619559569946,1.12436210452511e-19,1.03321381658494e-16
"ENSG00000182566.12",102.787347501525,-4.43994428117718,0.494981583332311,-8.9699181357145,2.96734897015661e-19,2.55637113778992e-16
"ENSG00000099769.5",391.903481375799,-4.36670900075539,0.488092228879057,-8.94648335373805,3.66987271192064e-19,2.97561914477142e-16
