"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000182566.12",187.902510734516,-6.22414071423001,0.470270656323041,-13.2352308836265,5.49276837564347e-40,8.23915256346521e-36
"ENSG00000138315.12",207.433311069417,-4.19011662258756,0.371418866609609,-11.2813779785498,1.62185366014816e-29,1.21639024511112e-25
"ENSG00000129965.13",517.466266916021,-5.94178398093821,0.545238826785483,-10.8975804528974,1.18362916341832e-27,4.51012997571009e-24
"ENSG00000166148.3",216.785200470642,-4.83603856651351,0.443831023190279,-10.8961255834525,1.20270132685602e-27,4.51012997571009e-24
"ENSG00000160339.15",154.170313653327,-5.70093223758412,0.526145014955455,-10.8352869941508,2.34229791011349e-27,7.02689373034048e-24
"ENSG00000126759.12",132.310205648734,-3.76827169074365,0.358797617236605,-10.5024992076765,8.41229120400088e-26,2.10307280100022e-22
"ENSG00000104938.16",83.5252619549265,-5.81049025276651,0.559391010508564,-10.3871713052449,2.83640589141605e-25,6.07801262446296e-22
"ENSG00000105697.7",1417.02785499384,-5.64619512295382,0.548615484476601,-10.2917166626102,7.67948618986211e-25,1.43990366059915e-21
"ENSG00000142748.12",326.183656178326,-4.86594579964205,0.476726928261573,-10.2069875041172,1.84504371110933e-24,3.07507285184888e-21
"ENSG00000087237.10",87.7877628723851,-3.44005727893671,0.337923526262533,-10.1799875166553,2.43592622493881e-24,3.65388933740821e-21
"ENSG00000163687.13",240.77960104024,-2.85990596269843,0.287392040378235,-9.95123580644238,2.49070756707097e-23,3.39641940964223e-20
"ENSG00000136011.14",263.110101849802,-4.43794940212245,0.453438139337668,-9.78733153899431,1.27619448365552e-22,1.5952431045694e-19
"ENSG00000123454.10",67.2816711991218,-5.20495585453808,0.551754476097404,-9.43346375973799,3.96765515822135e-21,4.57806364410155e-18
"ENSG00000171408.13",87.0214193867058,-3.5504405828071,0.377567836293953,-9.40345082795383,5.28022814043569e-21,5.65738729332395e-18
"ENSG00000145708.10",153.022052463907,-4.49969023826839,0.483681417383898,-9.3030041604782,1.36532368200427e-20,1.35159157634535e-17
"ENSG00000129993.14",36.9309243699285,-3.02568104242955,0.325439434283404,-9.29721700473055,1.44169768143504e-20,1.35159157634535e-17
"ENSG00000197408.8",1961.09394963777,-5.03749296931488,0.544378357106696,-9.25366136172008,2.16931529156501e-20,1.91410172785148e-17
"ENSG00000130812.10",85.3836861776027,-3.58937497741259,0.389827748548268,-9.20759230398439,3.3352176872889e-20,2.77934807274075e-17
"ENSG00000091831.21",152.038530362521,-4.01393025290936,0.442731315169829,-9.06628945225987,1.23139031081634e-19,9.72150245381322e-17
"ENSG00000128016.5",1876.74834624264,-2.81381525687209,0.316654666572332,-8.8860691280207,6.33089754860295e-19,4.74817316145221e-16
"ENSG00000138670.16",373.540228414082,-2.85212478551637,0.321957677986751,-8.85869473078304,8.09567241785965e-19,5.78262315561404e-16
"ENSG00000170345.9",2160.97764832083,-3.48302636779597,0.396708967416792,-8.77980245941006,1.63762027181762e-18,1.11655927623929e-15
"ENSG00000105609.16",110.03415207792,-2.06841065006788,0.238183285475139,-8.68411335388932,3.81708001762481e-18,2.48940001149444e-15
"ENSG00000152990.13",414.691110926954,-1.92543134684959,0.224858790759375,-8.56284666633301,1.1011433643131e-17,6.8821460269569e-15
"ENSG00000146674.14",1807.10849143914,-2.33045631802839,0.273913512832826,-8.50800055070926,1.76958354183168e-17,1.06175012509901e-14
"ENSG00000042062.11",75.7742194357878,-4.16563153574508,0.49058935380308,-8.49107609745877,2.04732453237735e-17,1.18114876867924e-14
"ENSG00000150893.10",68.4959861888236,-4.97522207405194,0.589768429504141,-8.4358908092706,3.28689554708498e-17,1.82605308171388e-14
"ENSG00000173369.15",897.027664608911,-1.63661858762989,0.196695412941054,-8.32057323126467,8.75389065299218e-17,4.68958427838867e-14
"ENSG00000133800.8",158.248429614179,-2.94400925882546,0.354350268171013,-8.30818972995571,9.71730718119996e-17,5.02619336958619e-14
"ENSG00000165682.14",29.1170725143196,-4.70056395291077,0.570857898515559,-8.23421023889477,1.80746028707271e-16,9.03730143536356e-14
"ENSG00000179094.13",830.258487858326,-2.18764156360883,0.266027007267934,-8.22338147572177,1.97844279988779e-16,9.57311032203769e-14
"ENSG00000099769.5",396.159476029048,-4.5899774287446,0.558946395004081,-8.21183832612622,2.17827447253317e-16,1.02106615899992e-13
"ENSG00000150656.14",106.820042897561,-4.86104586362554,0.594789439222984,-8.17271717193881,3.01520265384359e-16,1.37054666083799e-13
"ENSG00000080709.14",66.5780091749049,-3.65879135458605,0.449122071243438,-8.14654097149207,3.7448190945556e-16,1.65212607112747e-13
"ENSG00000116882.14",399.718633746626,-4.35346155006553,0.536186760893351,-8.11930071308018,4.68877422841955e-16,1.96028577582299e-13
"ENSG00000172425.10",248.807291070007,-4.5842718361851,0.564642717541962,-8.11888950970915,4.70468586197518e-16,1.96028577582299e-13
"ENSG00000091409.14",473.990531351955,2.37800822175778,0.294539183737752,8.07365658986506,6.82235842502944e-16,2.69631455211011e-13
"ENSG00000017427.15",399.845005781111,-3.32674314893374,0.412056704708241,-8.07350811410595,6.83066353201229e-16,2.69631455211011e-13
"ENSG00000175336.9",694.149863884016,-4.04855525523292,0.502382074677249,-8.0587175763265,7.70989958479915e-16,2.96534599415352e-13
"ENSG00000147119.3",90.6505857696445,-2.42445879606362,0.308538088866008,-7.85789140321186,3.90653758425467e-15,1.4649515940955e-12
"ENSG00000125740.13",962.514922312799,-4.06984048933727,0.519456006491749,-7.83481264722254,4.69542313184444e-15,1.7178377311626e-12
"ENSG00000113594.9",520.271773530352,-2.42719478244512,0.312912964520454,-7.75677283350933,8.71177734176754e-15,3.11134905063126e-12
"ENSG00000160801.13",126.165211793047,-3.37737876120821,0.440779932514316,-7.66227886542571,1.82662474144558e-14,6.37194677248458e-12
"ENSG00000088827.12",269.848069553597,-2.19173246242824,0.286926754875363,-7.63864793082924,2.19514646617292e-14,7.48345386195314e-12
"ENSG00000186298.11",344.588458719514,1.23594057660683,0.162019631777448,7.62833838744019,2.3779870535947e-14,7.92662351198235e-12
